Leaf_Width,Leaf_Length,Plant_Name
1.9,7,EasternWhitePine
1.9,7.5,EasternWhitePine
1.5,6.5,EasternWhitePine
1.7,7.3,EasternWhitePine
1.6,6.7,EasternWhitePine
1.8,6.6,EasternWhitePine
1.3,6.9,EasternWhitePine
1.6,6.5,EasternWhitePine
1.7,6.7,EasternWhitePine
1.1,6.4,EasternWhitePine
0.4,1.9,RedSpruce
0.3,1.5,RedSpruce
0.5,1.4,RedSpruce
0.6,1.5,RedSpruce
0.7,1.5,RedSpruce
0.5,1.5,RedSpruce
0.7,1.6,RedSpruce
0.4,1.7,RedSpruce
0.3,1.4,RedSpruce
0.5,1.4,RedSpruce
2.1,3.9,AmericanHolly
2,3.1,AmericanHolly
1.4,3.4,AmericanHolly
2,4.5,AmericanHolly
1.6,4.7,AmericanHolly
2.2,3.9,AmericanHolly
2.1,4.2,AmericanHolly
1.7,4.1,AmericanHolly
1.8,5.2,AmericanHolly
1.7,4.4,AmericanHolly